,PID,Speed,PupilDilation,rel_PupilDilation
61,6,200,2.873311216775373,-0.15275062697464506
62,6,250,2.8166601554750637,-0.0796065776210263
63,6,300,2.9845855820610665,0.1677781669447851
64,6,350,2.987091726395677,-0.01102371715271738
65,6,400,2.9041163688477165,0.21619217503083155
66,6,450,3.027713373760369,0.21733512818775594
67,6,500,2.924001199128449,0.17967392618446873
68,6,550,2.919579365115328,0.09791559303895393
69,6,600,2.9447135545129384,0.1112231286529417
70,7,0,4.856693782068055,-0.1576526609248096
71,7,200,4.0944233330924895,-0.29460597725233406
72,7,250,4.179702585372405,-0.03554325088489885
73,7,300,4.406640400375102,0.047031367081411216
74,7,350,4.207761355704702,-0.04043786188789526
75,7,400,4.081866061378791,-0.07583710219429003
76,7,450,4.035865554951218,-0.20071563436354461
77,7,500,4.205410385814798,0.07365083794858916
78,7,550,3.9643708344427666,-0.26920227666833363
79,7,600,4.047056486399664,0.0017335757268032168
80,8,0,3.4690096133267256,-0.17418672731992785
81,8,200,3.1801868685482257,-0.13248319873716746
82,8,250,3.1145659144434434,0.13633462378597955
83,8,300,3.1129520975274705,0.025507335289711525
84,8,350,3.1039607195977217,-0.032364861717155136
85,8,400,3.104387165490891,-0.36078513059206474
86,8,450,3.2323197531184182,0.04302943325698936
87,8,500,3.368813003086418,0.046714521604940676
88,8,550,3.5503071129637394,0.17276679577803902
89,8,600,3.5728086393724623,0.1111987777807502
90,9,0,3.9058922828106795,0.39464284873833005
91,9,200,3.109178128325734,-0.02907082674338905
92,9,250,3.216839716065238,0.03747988884627702
93,9,300,3.248781830326816,0.1932592951480501
94,9,350,3.473768183676064,0.24108479222108675
95,9,400,3.757468293023936,0.4712378326509811
96,9,450,3.469681956855234,0.24074943607000404
97,9,500,3.569561541934238,0.22668514747056426
98,9,550,3.429996185901439,-0.0696997806498895
99,9,600,3.3928967951884075,-0.04718413107886489
100,10,0,3.646459646105929,-0.038888298530760285
101,10,200,3.548774351866591,0.29376390326842855
102,10,250,3.3334659342663793,-0.2498986162687136
103,10,300,3.206947209533051,-0.24936588414376304
104,10,350,3.254514309176832,-0.13035741713894491
105,10,400,3.157276889239587,-0.0007068396132469697
106,10,450,3.133227697678209,-0.17028716706168964
107,10,500,3.158084766129037,0.01476813113483191
108,10,550,3.212508378104308,-0.11373727810939706
109,10,600,3.4797684651162712,0.0354674501047332
110,11,0,4.0401627344300906,-0.3046469806794943
111,11,200,3.095513886902621,-0.1711931202317466
112,11,250,3.174871403499375,-0.7174071161311106
113,11,300,3.200180494354662,0.0095421743546553
114,11,350,3.3496239261363736,-0.1223424407617877
115,11,400,3.3215552067836884,-0.03099841677288561
116,11,450,3.6320631739478313,-0.5283843051705033
117,11,500,4.016194514887167,0.014739935696412408
118,11,550,3.8453663325476866,-0.07648417610284518
119,11,600,3.990998626848953,-0.06049527802619878
120,12,0,4.187692972456971,0.10960095507573463
121,12,200,3.3055404759847655,0.05521266719617641
122,12,250,3.575927722068323,0.04237289181429504
123,12,300,3.808240984760843,0.47107345506964077
124,12,350,3.7609336316118567,0.15952874800139838
125,12,400,3.7296601086925323,0.12038301345442212
126,12,450,3.4844042702525417,0.2618759729873825
127,12,500,3.424024069606009,0.13129819668437875
128,12,550,3.3226354398070495,0.08135182109360183
129,12,600,3.439752491902393,0.049042917999389785
130,13,0,4.1966194635612215,0.7204137888913533
131,13,200,3.737875783273503,0.4193303897549925
132,13,250,3.5830621085389827,0.09220371925328633
133,13,300,3.6361331453439485,0.5421949672298754
134,13,350,3.8851027977017285,0.3789572132109954
135,13,400,3.8147823950833994,0.42441328500228565
136,13,450,3.707134628420692,0.389441018720933
137,13,500,3.8612810977835665,0.3881071127951236
138,13,550,4.101508497558905,0.43311975364233024
139,13,600,4.268216829563267,0.43906077522800735
140,14,0,4.253062520916024,0.08266171188825688
141,14,200,3.2533242605261443,0.18319352330853492
